name,failed before pnr,failed during pnr,open,short,minlen,terminal,other,w,h,area,aspect
COMPARATOR_PRE_AMP,False,False,0,0,0,0,0,4.532,5.68,25.74176,1.2533097969991174
BUFFER_VCM_FINAL1,False,False,0,0,0,0,0,3.012,11.392,34.312704,3.782204515272244
high_speed_comparator,False,False,0,0,0,0,0,12.852,10.972,141.012144,1.17134524243529
powertrain_binary,False,False,0,0,0,0,0,72.772,3.832,278.862304,18.99060542797495
inverter_v3,False,False,0,0,0,0,0,2.132,1.9,4.0508,1.122105263157895
Reference_buffer_core,False,False,1,0,0,0,0,14.372,3.832,55.073504,3.7505219206680587
tb_single_SAR,False,True,,,,,,,,,
BUFFER_VCM_FINAL4,False,False,0,0,0,0,0,5.892,3.832,22.578144,1.537578288100209
common_source,False,False,0,0,0,0,0,2.052,1.9,3.8988,1.08
test_vga,False,False,0,0,0,0,0,106.932,3.832,409.763424,27.905010438413363
BUFFER_VREFP,False,False,0,0,0,0,0,21.412,3.832,82.050784,5.587682672233821
buffer,False,False,0,0,0,0,0,1.732,5.008,8.673856,2.8914549653579678
single_to_differential_converter,False,False,2,4,6,1,0,12.852,25.42,326.69784000000004,1.977902272019919
ldo_error_amp_v2,False,False,0,0,0,0,0,10.772,5.008,53.946176,2.150958466453674
BUFFER_VCM_FINAL2,False,False,0,0,0,0,0,3.012,11.392,34.312704,3.782204515272244
inverter_v2,False,False,0,0,0,0,0,1.412,1.9,2.6828,1.3456090651558075
vco_dtype_12_hierarchical,False,False,0,0,0,0,0,56.372,6.184,348.604448,9.115782664941785
sc_dc_dc_converter,False,False,0,0,0,0,0,245.492,35.384,8686.488927999999,6.93793805109654
cascode_current_mirror_ota,False,False,0,0,0,0,0,9.332,5.764,53.78964800000001,1.6190145732130465
adder,False,False,0,0,0,0,0,20.212,10.216,206.48579199999998,1.9784651527016446
BUFFER_VCM,False,False,0,0,0,0,0,15.252,8.2,125.0664,1.8600000000000003
BUFFER_VREFP_ud,False,False,0,0,0,0,0,23.012,3.832,88.181984,6.005219206680585
ldo_error_amp,False,False,0,0,0,0,0,17.812,5.68,101.17216,3.135915492957747
BUFFER_VREFP2,False,False,2,0,0,0,0,40.292,1.9,76.5548,21.206315789473685
BUFFER_VREFP_FINAL2,False,False,6,0,0,0,0,40.292,1.9,76.5548,21.206315789473685
inverter_current_starved,False,False,0,0,0,0,0,4.052,5.008,20.292416,1.2359328726554788
Sanitized_ResTune_Configure,False,False,16,0,0,0,0,225.972,3.128,706.840416,72.24168797953965
BUFFER_VCM_FINAL,False,False,0,0,0,0,0,3.012,11.308,34.059696,3.7543160690571047
TI_SAR,False,True,,,,,,,,,
BUFFER_VREFP1,False,False,1,0,0,0,0,40.292,1.9,76.5548,21.206315789473685
COMPARATOR_2LEVEL_BIDIRECTIONAL_MAC_SKEW,False,False,0,0,0,0,0,19.688,6.856,134.98092799999998,2.871645274212369
telescopic_ota_multi_connection,False,False,0,0,0,0,0,4.772,7.612,36.324464,1.5951383067896059
SW_Cres_v3_5,False,False,0,0,0,0,0,8.292,1.9,15.7548,4.36421052631579
BUFFER_VCM_FINAL3,False,False,0,0,0,0,0,18.132,1.9,34.4508,9.543157894736844
powertrain_thermo,False,False,0,0,0,0,0,145.492,1.9,276.4348,76.57473684210527
BUFFER_VREFP_ZHU,False,False,0,0,0,0,0,4.212,3.832,16.140383999999997,1.0991649269311063
telescopic_ota_with_bias,False,False,0,0,0,0,0,17.412,11.192,194.875104,1.5557541100786274
VCM5,False,False,0,0,0,0,0,9.812,1.9,18.642799999999998,5.16421052631579
comparator1,False,False,0,0,0,0,0,4.132,9.492,39.220944,2.2971926427879965
five_transistor_ota,False,False,0,0,0,0,0,5.092,3.832,19.512544,1.3288100208768268
TEST,False,False,2,0,0,0,0,52.292,1.9,99.3548,27.522105263157897
telescopic_ota,False,False,0,0,0,0,0,2.772,9.492,26.311824,3.4242424242424248
linear_equalizer,False,False,1,2,0,0,0,9.092,13.24,120.37808000000001,1.4562252529696436
SAR_ADC_6b_2GSPS,False,True,,,,,,,,,
CTDSM_CORE_NEW,False,True,,,,,,,,,
VCM4,False,False,0,0,0,0,0,2.052,5.68,11.65536,2.7680311890838203
ring_oscillator,False,False,0,0,0,0,0,3.252,3.748,12.188496,1.1525215252152523
current_mirror_ota,False,False,0,0,0,0,0,4.292,9.208,39.520736,2.145386766076421
Sanitized_BTSW,False,False,0,0,0,0,0,6.932,3.128,21.683296000000002,2.2161125319693094
Sanitized_Coarse_Comp_CK,False,False,0,0,0,0,0,30.452,1.9,57.8588,16.027368421052632
five_transistor_ota_high_frequency,False,False,0,0,0,0,0,8.168,5.428,44.33590399999999,1.5047899778924096
Gm1_v5_Practice,False,False,0,2,0,0,0,6.772,10.72,72.59584000000001,1.5829887773183697
inverter_v1,False,False,0,0,0,0,0,1.412,1.9,2.6828,1.3456090651558075
powertrain,False,False,0,0,0,0,0,1.972,7.78,15.34216,3.9452332657200815
COMP_GM_STAGE_0415,False,False,0,0,0,0,0,25.172,3.832,96.459104,6.568893528183716
vco_dtype_12_hierarchical_res,False,False,8,0,0,0,0,82.612,6.184,510.87260799999996,13.358990944372573
variable_gain_amplifier,False,False,0,0,0,0,0,15.012,5.428,81.485136,2.765659543109801
